Current variable name,ENA variable name,Measurement unit,Allowed values,Definition,
sample id,sample_id,,,,
,virus_identifier,,scientific name,,
patient id,host_subject_id,,,,
,host_common_name,,,,
,host_scientific_name,,scientific name,,
sex,host_sex,,F or M,,
date,collection_date,date,YYYY-MM-DD,,
,collector_name,,,,
,collecting_institution,,,,
location,geographic_location(country),,Country, city, region,,
,geographic_location(region),,,,
,geographic_location(city),,,,
age,host_age,Years,1-infinite,,
health state,host_health_state,,diseased, healthy,,
symptoms,host_illnes_symptoms,,fever, fatigue, sore throat, lack of taste,,
disease outcome,host_disease_outcome,,dead, recovered,OGMS:0000122,Recovered
tissue,isolate,,nasopharynx, laringopharynx, lungs,,
,sample_capture_status,,,,
